timestamp,x,y,z,label,stage,hand
1582538875086,0.07,0.07,0.07,0,0,0
1582538875187,-0.07,0.07,0.07,0,0,0
1582538875288,-0.07,-0.07,0.07,0,0,0
1582538875387,-0.07,-0.07,0.07,0,0,0
1582538875487,-0.07,-0.07,0.07,0,0,0
1582538875587,-0.07,0.07,0.07,0,0,0
1582538875687,-0.07,0.07,0.07,0,0,0
1582538875787,-0.07,0.07,0.07,0,0,0
1582538875887,0.07,-0.07,0.07,0,0,0
1582538875987,0.07,-0.07,0.07,0,0,0
1582538876087,0.07,-0.07,0.07,0,0,0
1582538876187,0.07,-0.07,0.07,0,0,0
1582538876287,0.07,-0.07,0.07,0,0,0
1582538876387,0.07,-0.07,0.07,0,0,0
1582538876487,0.07,-0.07,0.07,0,0,0
1582538876587,0.07,-0.07,0.07,0,0,0
1582538876687,0.07,-0.07,0.07,0,0,0
1582538876787,0.07,-0.07,0.07,0,0,0
1582538876887,0.07,-0.07,0.07,0,0,0
1582538876987,0.07,-0.07,0.07,0,0,0
1582538877089,-0.07,0.07,0.07,0,0,0
1582538877211,-0.07,0.07,0.07,0,0,0
1582538877288,-0.07,0.07,0.07,0,0,0
1582538877388,-0.07,0.07,0.07,0,0,0
1582538877488,-0.07,0.07,0.07,0,0,0
1582538877588,-0.07,0.07,0.07,0,0,0
1582538877688,-0.07,0.07,0.07,0,0,0
1582538877788,-0.07,0.07,0.07,0,0,0
1582538877888,-0.07,-0.07,0.07,0,0,0
1582538877988,0.07,-0.07,0.07,0,0,0
1582538878098,0.07,-0.14,0.07,0,0,0
1582538878189,0.07,-0.14,0.07,0,0,0
1582538878288,0.07,-0.07,0.07,0,0,0
1582538878388,0.07,-0.07,0.07,0,0,0
1582538878488,0.07,-0.07,0.07,0,0,0
1582538878590,0.07,-0.14,0.07,0,0,0
1582538878689,0.07,-0.14,0.07,0,0,0
1582538878789,0.14,-0.07,0.07,0,0,0
1582538878889,0.07,-0.07,0.07,0,0,0
1582538878989,0.07,-0.07,0.07,0,0,0
1582538879091,0.14,-0.14,0.07,0,0,0
1582538879189,0.07,-0.07,0.07,0,0,0
1582538879289,0.07,-0.07,0.07,0,0,0
1582538879389,0.07,-0.07,0.07,0,0,0
1582538879489,0.14,-0.14,0.07,0,0,0
1582538879589,0.07,-0.14,0.07,0,0,0
1582538879689,0.14,-0.14,0.07,0,0,0
1582538879789,0.14,-0.07,0.07,0,0,0
1582538879889,0.07,-0.14,0.07,0,0,0
1582538879990,0.07,-0.07,0.07,0,0,0
1582538880090,0.07,-0.07,0.07,0,0,0
1582538880190,0.14,-0.07,0.07,0,0,0
1582538880290,0.14,-0.07,0.07,0,0,0
1582538880390,0.07,-0.07,0.07,0,0,0
1582538880490,0.07,-0.07,0.07,0,0,0
1582538880590,0.07,-0.14,0.07,0,0,0
1582538880690,0.07,-0.07,0.07,0,0,0
1582538880790,0.14,-0.07,0.07,0,0,0
1582538880890,0.07,-0.07,0.07,0,0,0
1582538880990,0.14,-0.14,0.14,0,0,0
1582538881090,0.07,-0.14,0.14,0,0,0
1582538881190,0.14,-0.14,0.14,0,0,0
1582538881290,0.14,-0.07,0.14,0,0,0
1582538881391,0.07,-0.07,0.07,0,0,0
1582538881491,0.14,-0.07,0.07,0,0,0
1582538881590,0.07,-0.07,0.07,0,0,0
1582538881691,0.14,-0.07,0.07,0,0,0
1582538881791,-0.07,-0.07,0.07,0,0,0
1582538881892,0.07,-0.14,0.07,0,0,0
1582538881991,0.07,-0.07,0.07,0,0,0
1582538882091,0.07,-0.07,0.07,0,0,0
1582538882191,0.07,-0.07,0.07,0,0,0
1582538882291,0.07,-0.07,0.07,0,0,0
1582538882391,0.14,-0.07,0.07,0,0,0
1582538882491,0.14,-0.07,0.07,0,0,0
1582538882591,0.07,-0.07,0.07,0,0,0
1582538882691,0.07,-0.07,0.07,0,0,0
1582538882791,0.07,-0.07,0.07,0,0,0
1582538882892,0.07,-0.07,0.07,0,0,0
1582538882992,0.07,-0.07,0.07,0,0,0
1582538883092,0.14,-0.07,0.07,0,0,0
1582538883192,0.07,-0.07,0.07,0,0,0
1582538883293,0.07,-0.07,0.07,0,0,0
1582538883392,0.07,-0.07,0.07,0,0,0
1582538883492,0.07,-0.07,0.07,0,0,0
1582538883592,0.07,-0.07,0.07,0,0,0
1582538883692,0.07,-0.07,0.07,0,0,0
1582538883792,0.07,-0.07,-0.07,0,0,0
1582538883892,0.07,-0.07,0.07,0,0,0
1582538883992,0.07,-0.07,0.07,0,0,0
1582538884092,-0.07,-0.07,0.07,0,0,0
1582538884193,-0.07,-0.07,0.07,0,0,0
1582538884292,-0.07,-0.07,0.07,0,0,0
1582538884393,0.07,-0.14,0.07,0,0,0
1582538884493,0.07,-0.07,0.07,0,0,0
1582538884594,0.07,-0.07,0.07,0,0,0
1582538884693,0.07,-0.14,0.07,0,0,0
1582538884793,0.07,-0.07,0.07,0,0,0
1582538884893,-0.07,-0.07,0.07,0,0,0
1582538884993,-0.14,0.07,0.07,0,0,0
1582538885093,-0.14,-0.07,0.14,0,0,0
1582538885193,-0.14,-0.14,0.14,0,0,0
1582538885293,-0.14,-0.07,0.07,0,0,0
1582538885394,-0.14,-0.07,0.07,0,0,0
1582538885493,-0.07,-0.07,0.07,0,0,0
1582538885593,0.07,-0.07,0.07,0,0,0
1582538885693,0.28,-0.49,-21.210001,0,0,0
1582538885794,-2.52,1.89,-1.75,0,0,0
1582538885894,-0.84,-8.33,3.22,0,0,0
1582538885995,-1.54,0.42,3.71,0,0,0
1582538886094,-1.75,0.28,-0.98,0,0,0
1582538886194,0.07,-0.07,-0.98,0,0,0
1582538886294,0.14,-0.07,0.28,0,0,0
1582538886394,7.91,1.33,-26.950001,0,0,0
1582538886494,-24.780001,5.18,-4.9,0,0,0
1582538886595,-31.5,62.369999,-31.780001,0,0,0
1582538886694,63.420002,44.869999,61.459999,0,0,0
1582538886798,86.800003,43.330002,60.970001,0,0,0
1582538886896,32.34,-9.45,99.400002,0,0,0
1582538886995,29.4,35.209999,25.27,0,0,0
1582538887097,65.800003,9.87,56.139999,0,0,0
1582538887196,6.65,116.480003,21.280001,0,0,0
1582538887297,-70.699997,-6.51,8.68,0,0,0
1582538887397,-26.32,-43.400002,82.739998,0,0,0
1582538887497,15.82,-8.05,24.780001,0,0,0
1582538887596,5.18,-25.34,42.209999,0,0,0
1582538887697,-33.25,-3.64,43.75,0,0,0
1582538887796,-7.91,-39.970001,22.889999,0,0,0
1582538887896,24.15,90.230003,-52.709999,0,0,0
1582538888000,-31.219999,2.38,0.63,0,0,0
1582538888098,-31.85,-12.95,-30.380001,0,0,0
1582538888197,-18.059999,-9.52,30.17,0,0,0
1582538888296,-10.5,-56.07,15.26,0,0,0
1582538888397,-1.12,-2.87,37.310001,0,0,0
1582538888496,27.58,-16.59,4.41,0,0,0
1582538888597,2.8,7.35,-7.84,0,0,0
1582538888697,14.14,51.099998,0.7,0,0,0
1582538888797,2.8,-4.41,2.31,0,0,0
1582538888897,6.51,-6.02,5.25,0,0,0
1582538888997,-3.08,5.81,-8.12,0,0,0
1582538889097,59.709999,33.389999,-71.400002,0,0,0
1582538889199,26.950001,-3.15,35.49000200000001,0,0,0
1582538889298,-13.37,1.05,23.52,0,0,0
1582538889397,1.89,4.9,-27.65,0,0,0
1582538889498,-80.5,-8.05,-4.55,0,0,0
1582538889597,-313.320007,90.230003,14.35,0,0,0
1582538889697,-381.149994,10.01,-65.099998,0,0,0
1582538889797,-527.9400019999998,62.580002,-57.959999,0,0,0
1582538889939,-188.369995,-76.440002,-50.119999,0,0,0
1582538890116,121.379997,-57.470001,-55.299999,0,0,0
1582538890217,301.070007,-335.579987,107.870003,0,0,0
1582538890217,96.040001,93.099998,-43.82,0,0,0
1582538890301,20.440001,-11.41,21.42,0,0,0
1582538890439,0.35,-19.879999,17.639999,0,0,0
1582538890500,-0.49,1.26,-1.75,0,0,0
1582538890601,-6.58,10.22,-7.7,0,0,0
1582538890705,-11.97,-1.68,1.82,0,0,0
1582538890801,-15.68,-2.1,4.41,0,0,0
1582538890902,-5.25,3.85,-2.66,0,0,0
1582538891011,-2.03,14.28,-14.28,0,0,0
1582538891101,-0.35,0.14,-0.21,0,0,0
1582538891201,-1.26,2.38,-2.8,0,0,0
1582538891302,-0.07,1.96,-1.4,0,0,0
1582538891402,-4.2,1.89,-1.4,0,0,0
1582538891502,-4.34,1.96,-2.1,0,0,0
1582538891601,-2.03,1.12,-1.54,0,0,0
1582538891701,0.77,-1.26,0.07,0,0,0
1582538891801,-0.91,-7.63,7.35,0,0,0
1582538891902,8.68,1.68,-1.19,0,0,0
1582538892013,4.55,-4.06,4.9,0,0,0
1582538892101,2.73,-4.06,0.42,0,0,0
1582538892202,1.26,3.29,6.16,0,0,0
1582538892303,16.030001000000002,7.35,-1.12,0,0,0
1582538892402,0.42,5.39,15.26,0,0,0
1582538892502,-19.18,-0.49,-7.35,0,0,0
1582538892601,-0.91,6.72,-6.65,0,0,0
1582538892702,-6.79,1.82,0.56,0,0,0
1582538892801,3.5,0.49,0.35,0,0,0
1582538892902,2.1,0.7,0.07,0,0,0
1582538893001,52.639999,9.17,-16.309998999999998,0,0,0
1582538893103,21.77,-2.31,-3.64,0,0,0
1582538893204,9.52,1.75,-6.51,0,0,0
1582538893302,13.37,3.36,-3.22,0,0,0
1582538893404,-9.24,-1.26,4.34,0,0,0
1582538893502,-21.77,-0.63,5.04,0,0,0
1582538893603,-42.630001,7.14,5.88,0,0,0
1582538893702,2.45,2.1,1.05,0,0,0
1582538893804,23.940001,1.19,-0.35,0,0,0
1582538893903,40.670002,12.46,1.19,0,0,0
1582538894026,-62.02,-5.25,-12.18,0,0,0
1582538894103,375.130005,-3.43,-83.440002,0,0,0
1582538894208,248.149994,35.77,-1.75,0,0,0
1582538894301,2.31,-84.07,-30.309999,0,0,0
1582538894401,38.150002,44.66,-2.38,0,0,0
1582538894502,-22.540001,53.200001,35.700001,0,0,0
1582538894602,-9.52,8.61,-1.61,0,0,0
1582538894703,-4.55,6.51,-21.07,0,0,0
1582538894802,-140.979996,-25.41,5.25,0,0,0
1582538894902,-73.57,-17.43,23.66,0,0,0
1582538895007,-204.820007,-26.18,24.01,0,0,0
1582538895101,-241.080002,-28.49,17.57,0,0,0
1582538895201,-105.980003,-22.82,-16.59,0,0,0
1582538895301,14.7,-47.459999,-19.389999,0,0,0
1582538895401,-4.69,1.82,3.5,0,0,0
1582538895501,-38.080002,-29.960001,16.1,0,0,0
1582538895602,-19.25,-14.98,-2.24,0,0,0
1582538895701,1.4,0.98,-1.26,0,0,0
1582538895801,-1.19,-1.12,1.12,0,0,0
1582538895902,2.52,1.61,-1.54,0,0,0
1582538896002,1.12,0.63,10.64,0,0,0
1582538896102,-7.07,-5.81,6.02,0,0,0
1582538896202,0.56,0.35,9.94,0,0,0
1582538896302,-0.14,-0.28,16.030001000000002,0,0,0
1582538896402,1.12,0.42,-3.29,0,0,0
1582538896502,-1.47,-1.19,-0.35,0,0,0
1582538896603,-1.61,-1.54,5.46,0,0,0
1582538896703,10.71,6.44,-7.0,0,0,0
1582538896803,4.97,3.08,-4.48,0,0,0
1582538896902,-1.19,-0.56,-1.82,0,0,0
1582538897002,35.0,8.12,-4.34,0,0,0
1582538897103,34.790001000000004,13.51,-2.73,0,0,0
1582538897202,219.240005,93.309998,-19.950001,0,0,0
1582538897303,370.860016,78.400002,-20.719999,0,0,0
1582538897403,183.050003,48.509998,-32.41,0,0,0
1582538897503,54.040001,15.47,-39.549999,0,0,0
1582538897603,26.74,-7.35,-27.16,0,0,0
1582538897703,-0.14,-7.42,11.69,0,0,0
1582538897803,-31.639999,-14.91,17.290001,0,0,0
1582538897903,-32.41,-23.73,14.42,0,0,0
1582538898004,-133.350006,-16.17,15.12,0,0,0
1582538898103,-116.129997,-24.57,17.15,0,0,0
1582538898203,-213.220001,2.17,25.41,0,0,0
1582538898305,71.889999,12.6,28.77,0,0,0
1582538898404,11.62,12.88,-2.66,0,0,0
1582538898505,-23.309999,73.150002,-1.75,0,0,0
1582538898604,242.479996,-1.4,27.299999,0,0,0
1582538898704,168.0,1.26,-4.06,0,0,0
1582538898804,39.549999,12.18,-0.42,0,0,0
1582538898904,56.84,14.98,-1.12,0,0,0
1582538899004,13.65,5.18,-3.5,0,0,0
1582538899104,-56.98,-6.37,0.07,0,0,0
1582538899204,-50.959999,-12.6,11.34,0,0,0
1582538899304,25.129999,6.02,-4.48,0,0,0
1582538899404,16.940001000000002,37.099998,-3.15,0,0,0
1582538899504,-67.34000400000001,14.49,-21.49,0,0,0
1582538899604,88.269997,-26.950001,-72.16999799999998,0,0,0
1582538899704,-184.100006,-16.66,-67.410004,0,0,0
1582538899804,-190.330002,-17.43,-21.84,0,0,0
1582538899904,300.790009,10.36,47.110001,0,0,0
1582538900007,-73.150002,-8.47,20.02,0,0,0
1582538900105,-133.419998,-41.720001,-12.88,0,0,0
1582538900205,-114.309998,-26.110001,-26.530001,0,0,0
1582538900304,159.389999,-4.13,-108.360001,0,0,0
1582538900404,351.399994,37.799999,-124.18,0,0,0
1582538900505,224.559998,77.07,-109.830002,0,0,0
1582538900606,98.279999,62.02,-78.889999,0,0,0
1582538900705,-23.1,29.889999,-42.84,0,0,0
1582538900805,-28.07,12.32,-17.710001000000005,0,0,0
1582538900905,136.639999,122.989998,-12.46,0,0,0
1582538901005,11.48,6.44,-29.610001,0,0,0
1582538901105,20.719999,-57.959999,-21.559999,0,0,0
1582538901205,69.230003,-21.49,-34.720001,0,0,0
1582538901308,13.09,-40.529999,-46.48,0,0,0
1582538901406,18.200001,-11.83,-38.220001,0,0,0
1582538901505,-13.79,14.56,-8.19,0,0,0
1582538901606,45.360001,50.959999,-16.59,0,0,0
1582538901706,71.610001,30.66,5.32,0,0,0
1582538901806,-75.25,-46.970001,-31.08,0,0,0
1582538901908,-43.400002,-23.309999,7.7,0,0,0
1582538902007,-29.049999,-8.19,1.96,0,0,0
